Date;Price;Open;High;Low;Change %
05.01.2024;5,298.12;5,027.85;5,339.53;5,010.24;5.21%
04.01.2024;5,035.69;5,254.33;5,261.33;4,953.77;-4.16%
03.01.2024;5,254.40;5,098.50;5,264.90;5,056.80;3.10%
02.01.2024;5,096.30;4,861.10;5,111.10;4,853.50;5.17%
01.01.2024;4,845.60;4,745.20;4,931.10;4,682.10;1.59%
12.01.2023;4,769.80;4,559.40;4,793.30;4,546.50;4.42%
11.01.2023;4,567.80;4,201.30;4,587.60;4,197.70;8.92%
10.01.2023;4,193.80;4,284.50;4,393.60;4,103.80;-2.20%
09.01.2023;4,288.10;4,530.60;4,541.20;4,238.60;-4.87%
08.01.2023;4,507.70;4,578.80;4,584.60;4,335.30;-1.77%
07.01.2023;4,589.00;4,450.50;4,607.10;4,385.10;3.11%
06.01.2023;4,450.40;4,183.00;4,458.50;4,171.60;6.47%
05.01.2023;4,179.80;4,166.80;4,231.10;4,048.30;0.25%
04.01.2023;4,169.50;4,102.20;4,170.10;4,049.30;1.46%
03.01.2023;4,109.30;3,963.30;4,110.80;3,808.90;3.50%
02.01.2023;3,970.20;4,070.10;4,195.40;3,943.10;-2.61%
01.01.2023;4,076.60;3,853.30;4,094.20;3,794.30;6.18%
12.01.2022;3,839.50;4,087.10;4,101.00;3,764.50;-5.90%
11.01.2022;4,080.10;3,901.80;4,080.10;3,698.20;5.37%
10.01.2022;3,872.00;3,609.80;3,905.40;3,491.60;7.99%
09.01.2022;3,585.60;3,936.70;4,119.30;3,584.10;-9.34%
08.01.2022;3,955.00;4,112.40;4,325.30;3,954.50;-4.24%
07.01.2022;4,130.30;3,781.00;4,140.10;3,721.60;9.11%
06.01.2022;3,785.40;4,149.80;4,177.50;3,636.90;-8.39%
05.01.2022;4,132.10;4,130.60;4,307.70;3,810.30;0.00%
04.01.2022;4,131.90;4,540.30;4,593.40;4,124.30;-8.80%
03.01.2022;4,530.40;4,363.10;4,637.30;4,157.90;3.58%
02.01.2022;4,373.90;4,519.60;4,595.30;4,114.60;-3.14%
01.01.2022;4,515.60;4,778.10;4,818.60;4,222.60;-5.26%
12.01.2021;4,766.20;4,602.80;4,808.90;4,495.10;4.36%
11.01.2021;4,567.00;4,610.60;4,743.80;4,560.00;-0.83%
10.01.2021;4,605.40;4,317.20;4,608.10;4,278.90;6.92%
09.01.2021;4,307.50;4,528.80;4,545.90;4,305.90;-4.76%
08.01.2021;4,522.70;4,406.90;4,537.40;4,367.70;2.90%
07.01.2021;4,395.30;4,300.70;4,430.00;4,233.10;2.28%
06.01.2021;4,297.50;4,216.50;4,302.40;4,164.40;2.22%
05.01.2021;4,204.10;4,192.00;4,238.00;4,056.90;0.55%
04.01.2021;4,181.20;3,992.80;4,218.80;3,992.80;5.24%
03.01.2021;3,972.90;3,842.50;3,994.40;3,723.30;4.24%
02.01.2021;3,811.20;3,731.20;3,950.40;3,725.60;2.61%
01.01.2021;3,714.20;3,764.60;3,870.90;3,662.70;-1.12%
12.01.2020;3,756.10;3,645.90;3,760.20;3,633.40;3.71%
11.01.2020;3,621.60;3,296.20;3,646.00;3,279.70;10.75%
10.01.2020;3,270.00;3,385.90;3,549.80;3,233.90;-2.77%
09.01.2020;3,363.00;3,507.40;3,588.10;3,209.40;-3.92%
08.01.2020;3,500.30;3,288.30;3,514.80;3,284.50;7.01%
07.01.2020;3,271.10;3,105.90;3,280.00;3,101.20;5.51%
06.01.2020;3,100.30;3,038.80;3,233.10;2,965.70;1.84%
05.01.2020;3,044.30;2,869.10;3,068.70;2,766.60;4.53%
04.01.2020;2,912.40;2,498.10;2,954.90;2,447.50;12.68%
03.01.2020;2,584.60;2,974.30;3,136.70;2,191.90;-12.51%
02.01.2020;2,954.20;3,235.70;3,393.50;2,855.80;-8.41%
01.01.2020;3,225.50;3,244.70;3,337.80;3,214.60;-0.16%
12.01.2019;3,230.80;3,143.80;3,247.90;3,070.30;2.86%
11.01.2019;3,141.00;3,050.70;3,154.30;3,050.70;3.40%
10.01.2019;3,037.60;2,983.70;3,050.10;2,855.90;2.05%
09.01.2019;2,976.70;2,909.00;3,022.00;2,891.80;1.72%
08.01.2019;2,926.50;2,980.30;3,013.60;2,822.10;-1.81%
07.01.2019;2,980.40;2,971.40;3,028.00;2,952.20;1.31%
06.01.2019;2,941.80;2,751.50;2,964.20;2,728.80;6.89%
05.01.2019;2,752.10;2,952.30;2,954.10;2,750.50;-6.58%
04.01.2019;2,945.80;2,848.60;2,949.50;2,848.60;3.93%
03.01.2019;2,834.40;2,798.20;2,860.30;2,722.30;1.79%
02.01.2019;2,784.50;2,702.30;2,813.50;2,681.80;2.97%
01.01.2019;2,704.10;2,477.00;2,708.90;2,444.00;7.87%
12.01.2018;2,506.80;2,790.50;2,800.20;2,346.60;-9.18%
11.01.2018;2,760.20;2,717.60;2,815.20;2,631.10;1.79%
10.01.2018;2,711.70;2,926.30;2,939.90;2,603.50;-6.94%
09.01.2018;2,914.00;2,897.00;2,940.90;2,864.10;0.43%
08.01.2018;2,901.50;2,821.20;2,916.50;2,796.30;3.03%
07.01.2018;2,816.30;2,704.90;2,848.00;2,698.90;3.60%
06.01.2018;2,718.40;2,718.70;2,791.50;2,692.00;0.48%
05.01.2018;2,705.30;2,643.60;2,742.20;2,594.60;2.16%
04.01.2018;2,648.10;2,633.40;2,717.50;2,553.80;0.27%
03.01.2018;2,640.90;2,715.20;2,801.90;2,585.90;-2.69%
02.01.2018;2,713.80;2,816.40;2,836.00;2,532.70;-3.90%
01.01.2018;2,823.80;2,683.70;2,872.90;2,682.40;5.62%
12.01.2017;2,673.60;2,645.10;2,695.00;2,605.50;0.98%
11.01.2017;2,647.60;2,583.20;2,657.70;2,557.40;2.81%
10.01.2017;2,575.30;2,521.20;2,583.00;2,520.40;2.22%
09.01.2017;2,519.40;2,474.40;2,519.40;2,446.60;1.93%
08.01.2017;2,471.70;2,477.10;2,490.90;2,417.30;0.06%
07.01.2017;2,470.30;2,431.40;2,484.00;2,407.70;1.94%
06.01.2017;2,423.40;2,415.70;2,453.80;2,405.70;0.48%
05.01.2017;2,411.80;2,388.50;2,418.70;2,352.70;1.16%
04.01.2017;2,384.20;2,362.30;2,398.20;2,328.90;0.91%
03.01.2017;2,362.70;2,380.10;2,401.00;2,322.20;-0.04%
02.01.2017;2,363.60;2,285.60;2,371.50;2,271.70;3.72%
01.01.2017;2,278.90;2,251.60;2,301.00;2,245.10;1.79%
12.01.2016;2,238.80;2,200.20;2,277.50;2,187.40;1.82%
11.01.2016;2,198.80;2,128.70;2,214.10;2,083.80;3.41%
10.01.2016;2,126.20;2,164.30;2,169.60;2,114.70;-1.94%
09.01.2016;2,168.30;2,171.30;2,187.90;2,119.10;-0.12%
08.01.2016;2,170.90;2,173.20;2,193.80;2,147.60;-0.12%
07.01.2016;2,173.60;2,099.30;2,177.10;2,074.00;3.56%
06.01.2016;2,098.90;2,093.90;2,120.60;1,991.70;0.09%
05.01.2016;2,097.00;2,067.20;2,103.50;2,025.90;1.53%
04.01.2016;2,065.30;2,056.60;2,111.10;2,033.80;0.27%
03.01.2016;2,059.70;1,937.10;2,072.20;1,937.10;6.60%
02.01.2016;1,932.20;1,936.90;1,963.00;1,810.10;-0.41%
01.01.2016;1,940.20;2,038.20;2,038.20;1,812.30;-5.07%
12.01.2015;2,043.90;2,082.90;2,104.30;1,993.30;-1.75%
11.01.2015;2,080.40;2,080.80;2,116.50;2,019.40;0.05%
10.01.2015;2,079.40;1,919.70;2,094.30;1,893.70;8.30%
09.01.2015;1,920.00;1,970.10;2,020.90;1,871.90;-2.65%
08.01.2015;1,972.20;2,104.50;2,112.70;1,867.00;-6.26%
07.01.2015;2,103.80;2,067.00;2,132.80;2,044.00;1.97%
06.01.2015;2,063.10;2,108.60;2,129.90;2,056.30;-2.10%
05.01.2015;2,107.40;2,087.40;2,134.70;2,067.90;1.05%
04.01.2015;2,085.50;2,067.60;2,125.90;2,048.40;0.85%
03.01.2015;2,067.90;2,105.20;2,117.50;2,039.70;-1.74%
02.01.2015;2,104.50;1,996.70;2,119.60;1,980.90;5.49%
01.01.2015;1,995.00;2,058.90;2,072.40;1,988.10;-3.10%
12.01.2014;2,058.90;2,065.80;2,093.60;1,972.60;-0.42%
11.01.2014;2,067.60;2,018.20;2,075.80;2,001.00;2.46%
10.01.2014;2,018.00;1,971.40;2,018.20;1,820.70;2.32%
09.01.2014;1,972.30;2,004.10;2,019.30;1,964.00;-1.55%
08.01.2014;2,003.40;1,929.80;2,005.00;1,904.80;3.77%
07.01.2014;1,930.70;1,962.30;1,991.40;1,930.70;-1.50%
06.01.2014;1,960.20;1,923.90;1,968.20;1,916.00;1.90%
