Date;Open;High;Low;Close;Adj Close;Volume
01.06.2014;4.765000;4.932500;4.557500;4.635000;4.412593;527713200
01.07.2014;4.630000;4.900000;4.355000;4.375000;4.165069;626903600
01.08.2014;4.375000;4.872500;4.335000;4.862500;4.629177;607985200
01.09.2014;4.875000;5.037500;4.555000;4.612500;4.410598;551238800
01.10.2014;4.620000;4.887500;4.192500;4.885000;4.671171;660721200
01.11.2014;4.997500;5.272500;4.845000;5.242500;5.013022;464309600
01.12.2014;5.220000;5.312500;4.775000;5.012500;4.813372;425700400
01.01.2015;5.032500;5.187500;4.770000;4.800000;4.609316;414035200
01.02.2015;4.830000;5.625000;4.735000;5.515000;5.295909;419354000
01.03.2015;5.500000;5.902500;5.115000;5.232500;5.043980;731044400
01.04.2015;5.252500;5.710000;5.162500;5.550000;5.350043;567365200
01.05.2015;5.595000;5.720000;5.095000;5.532500;5.333170;708133600
01.06.2015;5.567500;5.650000;4.992500;5.027500;4.868801;733383200
01.07.2015;5.152500;5.225000;4.772500;4.987500;4.830062;548040400
01.08.2015;5.027500;5.987500;4.962500;5.620000;5.442596;946949200
01.09.2015;5.457500;6.170000;5.350000;6.162500;5.993081;648020800
01.10.2015;6.162500;7.195000;5.867500;7.092500;6.897513;805231600
01.11.2015;7.115000;7.985000;6.907500;7.930000;7.711989;734481600
01.12.2015;8.000000;8.485000;7.992500;8.240000;8.043895;562717200
01.01.2016;8.072500;8.360000;6.612500;7.322500;7.148232;813898000
01.02.2016;7.315000;8.030000;6.187500;7.840000;7.653416;900004800
01.03.2016;7.860000;9.062500;7.760000;8.907500;8.727191;657790400
01.04.2016;8.852500;9.365000;8.657500;8.882500;8.702698;673425200
01.05.2016;8.967500;11.705000;8.600000;11.680000;11.443564;1036783600
01.06.2016;11.625000;12.135000;11.142500;11.752500;11.544503;819790000
01.07.2016;11.687500;14.312500;11.507500;14.275000;14.022354;721005200
01.08.2016;14.335000;15.875000;13.875000;15.335000;15.063597;930512000
01.09.2016;15.347500;17.297501;14.330000;17.129999;16.857836;866525200
01.10.2016;17.129999;18.237499;15.925000;17.790001;17.507351;655156800
01.11.2016;17.855000;23.812500;16.645000;23.049999;22.683781;1276746400
01.12.2016;23.025000;29.982500;21.192499;26.684999;26.300343;1808222800
01.01.2017;26.100000;27.972500;24.777500;27.295000;26.901552;1339684000
01.02.2017;27.645000;30.230000;23.924999;25.370001;25.004303;1420678800
01.03.2017;25.947500;27.500000;23.792500;27.232500;26.873821;1428896000
01.04.2017;27.237499;27.412500;23.872499;26.075001;25.731573;957257200
01.05.2017;26.184999;36.750000;25.577499;36.087502;35.612206;1920944400
