Date;Price;Open;High;Low;Change %
05/24/2024;5,295.40;5,283.78;5,296.62;5,278.12;0.52%
05/23/2024;5,267.84;5,340.26;5,341.88;5,256.93;-0.74%
05/22/2024;5,307.01;5,319.28;5,323.18;5,286.01;-0.27%
05/21/2024;5,321.41;5,298.69;5,324.32;5,297.87;0.25%
05/20/2024;5,308.13;5,305.35;5,325.32;5,302.40;0.09%
05/17/2024;5,303.27;5,303.10;5,305.45;5,283.59;0.12%
05/16/2024;5,297.10;5,310.07;5,325.49;5,296.19;-0.21%
05/15/2024;5,308.15;5,263.26;5,311.76;5,263.26;1.17%
05/14/2024;5,246.68;5,221.10;5,250.37;5,217.98;0.48%
05/13/2024;5,221.42;5,233.08;5,237.26;5,211.16;-0.02%
05.10.2024;5,222.68;5,225.49;5,239.66;5,209.68;0.16%
05.09.2024;5,214.08;5,189.03;5,215.30;5,180.41;0.51%
05.08.2024;5,187.67;5,168.98;5,191.95;5,165.86;0.00%
05.07.2024;5,187.70;5,187.20;5,200.23;5,178.96;0.13%
05.06.2024;5,180.74;5,142.42;5,181.00;5,142.42;1.03%
05.03.2024;5,127.79;5,122.78;5,139.12;5,101.22;1.26%
05.02.2024;5,064.20;5,049.32;5,073.21;5,011.05;0.91%
05.01.2024;5,018.39;5,029.03;5,096.12;5,013.45;-0.34%
04/30/2024;5,035.69;5,103.78;5,110.83;5,035.31;-1.57%
04/29/2024;5,116.17;5,114.13;5,123.49;5,088.65;0.32%
04/26/2024;5,099.96;5,084.65;5,114.62;5,073.14;1.02%
04/25/2024;5,048.42;5,019.88;5,057.75;4,990.58;-0.46%
04/24/2024;5,071.63;5,084.86;5,089.48;5,047.02;0.02%
04/23/2024;5,070.55;5,028.85;5,076.12;5,027.96;1.20%
04/22/2024;5,010.60;4,987.33;5,038.84;4,969.40;0.87%
04/19/2024;4,967.23;5,005.44;5,019.02;4,953.56;-0.88%
04/18/2024;5,011.12;5,031.52;5,056.66;5,001.89;-0.22%
04/17/2024;5,022.21;5,068.97;5,077.96;5,007.25;-0.58%
04/16/2024;5,051.41;5,064.59;5,079.84;5,039.83;-0.21%
04/15/2024;5,061.82;5,149.67;5,168.43;5,052.47;-1.20%
04.12.2024;5,123.40;5,171.50;5,175.00;5,107.90;-1.46%
04.11.2024;5,199.10;5,172.90;5,211.80;5,138.80;0.75%
04.10.2024;5,160.60;5,167.90;5,178.40;5,138.70;-0.95%
04.09.2024;5,209.90;5,217.00;5,224.80;5,160.80;0.14%
04.08.2024;5,202.40;5,211.40;5,219.60;5,197.40;-0.04%
04.05.2024;5,204.30;5,158.90;5,222.20;5,157.20;1.11%
04.04.2024;5,147.20;5,244.10;5,256.60;5,146.10;-1.23%
04.03.2024;5,211.50;5,194.40;5,228.80;5,194.40;0.11%
04.02.2024;5,205.80;5,204.30;5,208.30;5,184.10;-0.72%
04.01.2024;5,243.80;5,258.00;5,263.90;5,229.20;-0.20%
03/28/2024;5,254.40;5,248.00;5,264.90;5,245.80;0.11%
03/27/2024;5,248.50;5,226.30;5,249.30;5,213.90;0.86%
03/26/2024;5,203.60;5,228.90;5,235.20;5,203.40;-0.28%
03/25/2024;5,218.20;5,219.50;5,229.10;5,216.10;-0.31%
03/22/2024;5,234.20;5,242.50;5,246.10;5,229.90;-0.14%
03/21/2024;5,241.50;5,253.40;5,261.10;5,240.70;0.32%
03/20/2024;5,224.60;5,181.70;5,226.20;5,171.60;0.89%
03/19/2024;5,178.50;5,139.10;5,180.30;5,131.60;0.57%
03/18/2024;5,149.40;5,154.80;5,175.60;5,145.50;0.63%
03/15/2024;5,117.10;5,123.30;5,136.90;5,104.40;-0.65%
03/14/2024;5,150.50;5,175.10;5,176.90;5,123.30;-0.29%
03/13/2024;5,165.30;5,173.50;5,179.10;5,151.90;-0.19%
03.12.2024;5,175.30;5,134.30;5,179.90;5,114.50;1.12%
03.11.2024;5,117.90;5,112.00;5,124.70;5,091.10;-0.11%
03.08.2024;5,123.70;5,164.50;5,189.30;5,117.50;-0.65%
03.07.2024;5,157.40;5,132.40;5,165.60;5,128.20;1.03%
03.06.2024;5,104.80;5,108.00;5,128.00;5,092.20;0.52%
03.05.2024;5,078.60;5,110.50;5,114.50;5,056.80;-1.02%
03.04.2024;5,130.90;5,131.00;5,149.70;5,127.20;-0.12%
03.01.2024;5,137.10;5,098.50;5,140.30;5,094.20;0.80%
02/29/2024;5,096.30;5,085.40;5,105.00;5,061.90;0.52%
02/28/2024;5,069.80;5,067.20;5,077.40;5,058.40;-0.17%
02/27/2024;5,078.20;5,074.60;5,080.70;5,057.30;0.17%
02/26/2024;5,069.50;5,093.00;5,097.70;5,068.90;-0.38%
02/23/2024;5,088.80;5,100.90;5,111.10;5,081.50;0.04%
02/22/2024;5,087.00;5,038.80;5,094.40;5,038.80;2.11%
02/21/2024;4,981.80;4,963.00;4,983.20;4,946.00;0.13%
02/20/2024;4,975.50;4,989.30;4,993.70;4,955.00;-0.60%
02/16/2024;5,005.60;5,031.10;5,038.70;4,999.50;-0.48%
02/15/2024;5,029.70;5,003.10;5,032.70;4,999.40;0.58%
02/14/2024;5,000.60;4,976.40;5,002.50;4,956.40;0.96%
02/13/2024;4,953.20;4,967.90;4,971.30;4,920.30;-1.37%
02.12.2024;5,021.80;5,026.80;5,048.40;5,016.80;-0.10%
02.09.2024;5,026.60;5,004.20;5,030.10;5,000.30;0.57%
02.08.2024;4,997.90;4,995.20;5,000.40;4,987.10;0.06%
02.07.2024;4,995.10;4,973.10;4,999.90;4,969.10;0.83%
02.06.2024;4,954.20;4,950.20;4,957.80;4,934.90;0.23%
02.05.2024;4,942.80;4,957.20;4,957.20;4,918.10;-0.32%
02.02.2024;4,958.60;4,916.10;4,975.30;4,908.00;1.07%
02.01.2024;4,906.20;4,861.10;4,907.00;4,853.50;1.25%
01/31/2024;4,845.60;4,899.20;4,906.80;4,845.10;-1.61%
01/30/2024;4,925.00;4,925.90;4,931.10;4,916.30;-0.06%
01/29/2024;4,927.90;4,892.90;4,929.30;4,887.40;0.75%
01/26/2024;4,891.00;4,888.90;4,906.70;4,881.50;-0.07%
01/25/2024;4,894.20;4,886.70;4,898.10;4,869.30;0.53%
01/24/2024;4,868.60;4,888.60;4,903.70;4,865.90;0.08%
01/23/2024;4,864.60;4,856.80;4,866.50;4,844.40;0.29%
01/22/2024;4,850.40;4,853.40;4,868.40;4,844.10;0.22%
01/19/2024;4,839.80;4,796.30;4,842.10;4,785.90;1.23%
01/18/2024;4,780.90;4,760.10;4,785.80;4,740.60;0.88%
01/17/2024;4,739.20;4,739.10;4,744.20;4,714.80;-0.56%
01/16/2024;4,766.00;4,772.40;4,782.30;4,747.10;-0.37%
01.12.2024;4,783.80;4,791.20;4,802.40;4,769.00;0.08%
01.11.2024;4,780.20;4,792.10;4,798.50;4,739.60;-0.07%
01.10.2024;4,783.40;4,759.90;4,790.80;4,756.20;0.57%
01.09.2024;4,756.50;4,741.90;4,765.50;4,730.40;-0.15%
